Individual Test Solutions,Remote Testing,Adaptive/IRT,Test Type
SAP HCM (Human Capital Management) (New),Yes,No,K
SAP Hybris (New),Yes,No,K
SAP Materials Management (New),Yes,No,K
SAP SD (Sales and Distribution) (New),Yes,No,K
Search Engine Optimization (New),Yes,No,K
Selenium (New),Yes,No,K
Shell Scripting (New),Yes,No,K
SHL Verify Interactive - Inductive Reasoning,Yes,Yes,"A, S"
SHL Verify Interactive – Deductive Reasoning,Yes,Yes,"A, S"
SHL Verify Interactive – Numerical Reasoning,Yes,Yes,"A, S"
SHL Verify Interactive G+,Yes,Yes,A
SHL Verify Interactive Numerical Calculation,Yes,Yes,A
Siebel Development (New),Yes,No,K
Smart Interview Live,Yes,No,P
Smart Interview Live Coding,Yes,No,K
Smart Interview On Demand,Yes,No,P
Social Media (New),Yes,No,K
Software Business Analysis,Yes,Yes,K
SonarQube (New),Yes,No,K
Spelling (U.S.) (New),Yes,No,K
Split Screen Typing Test - Form 1,Yes,No,"A, K"
Spring (New),Yes,No,K
SQL (New),Yes,No,K
SQL Server (New),Yes,No,K
SQL Server Analysis Services (SSAS) (New),Yes,No,K
SQL Server Integration Services (SSIS) (New),Yes,No,K
SQL Server Reporting Services (SSRS) (New),Yes,No,K
Statistical Analysis System (New),Yes,No,K
Struts (New),Yes,No,K
SVAR - Spoken English (AUS),Yes,No,S
SVAR - Spoken English (Indian Accent) (New),Yes,No,S
SVAR - Spoken English (U.K.),Yes,No,S
SVAR - Spoken English (US) (New),Yes,No,S
SVAR - Spoken French (Canadian) (New),Yes,No,S
SVAR - Spoken French (European) (New),Yes,No,S
SVAR - Spoken Spanish (Castilian) (New),Yes,No,S
SVAR - Spoken Spanish (North American) (New),Yes,No,S
Swing (New),Yes,No,K
Tableau (New),Yes,No,K
Telecommunications Engineering (New),Yes,No,K
Teradata Development (New),Yes,No,K
Time Management (U.S.),Yes,Yes,K
Training Development,Yes,Yes,K
Typing (New),Yes,No,S
UiPath RPA Development (New),Yes,No,K
Universal Competency Framework Interview Guide,Yes,No,"C, P"
Universal Competency Framework Job profiling guide,Yes,No,"C, P"
Universal Competency Framework Profiler Cards (44),Yes,No,"C, P"
UNIX (New),Yes,No,K
VB.NET (New),Yes,No,K
Verify - Deductive Reasoning,Yes,Yes,A
Verify - Following Instructions,Yes,No,A
Verify - G+,Yes,Yes,A
Verify - General Ability Screen,Yes,Yes,A
Verify - Inductive Reasoning (2014),Yes,Yes,A
Verify - Numerical Ability,Yes,Yes,A
Verify - Technical Checking - Next Generation,Yes,No,A
Verify - Verbal Ability - Next Generation,Yes,Yes,A
Verify - Working with Information,Yes,No,A
Verify G+ - Ability Test Report,Yes,No,A
Verify G+ - Candidate Report,Yes,No,A
Verify Interactive Ability Report,Yes,No,A
Verify Interactive G+ Candidate Report,Yes,No,A
Verify Interactive G+ Report,Yes,No,A
Verify Interactive Process Monitoring,Yes,No,A
Virtual Assessment and Development Centers,Yes,No,P
Visual Basic for Applications (New),Yes,No,K
Visual Comparison - UK,Yes,No,K
Visual Comparison - US,Yes,No,K
VLSI and Embedded Systems (New),Yes,No,K
What Is The Value - US,Yes,Yes,K
Workplace Administration Skills (New),Yes,No,K
Workplace Health and Safety (New),Yes,No,K
WriteX - Email Writing (Customer Service) (New),Yes,No,S
WriteX - Email Writing (Managerial) (New),Yes,No,S
WriteX - Email Writing (Sales) (New),Yes,No,"B, S"
Written English v1,Yes,Yes,K
Written Spanish,Yes,Yes,K
Zabbix (New),Yes,No,K
360 Digital Report,Yes,No,D
360° Multi-Rater Feedback System (MFS),Yes,No,"D, P"
